article_id,title,url,content_hash,published_date,source,category,english_title,english_summary,ai_processed_at,include_on_site
68376486080b81d3,http://www.lawissue.co.kr/view.php?ud=20260521190353785204ead0791_12,"정관장 ""화애락·RXGIN, 가정의 달 기간 20대 구매 증가했다""","조성물, 녹용 추출액, 샤프란 추출물, 저분자 콜라겐 펩타이드 등이 포함됐다. 칼로리 부담을 낮춘 설계도 적용됐다. RXGIN 대표 제품 ‘RXGIN 홍천웅’은 홍삼농축액에 홍경천 추출물과 녹용, 구기자, 사상자, 복분자...",2026-05-21,lawissue.co.kr,업계소식,Cheong Kwan Jang: Sales of Hwa-ae-rak and RXGIN to 20-somethings rise during Family Month,Chong Kun Dang reports increased purchases of its deer velvet-containing products Hwaaelak and RXGIN among consumers in their 20s during the Family Month promotional period. RXGIN Hongcheon Woong product combines red ginseng concentrate with deer velvet extract and other traditional ingredients in a low-calorie formulation.,2026-06-05T13:43:33Z,TRUE
99a5a5f5593ac347,https://biz.chosun.com/industry/business_info/2026/07/01/FOJOFSMWYRDRLIPOKIHNFZ45MM/?utm_source=naver&utm_medium=original&utm_campaign=biz,"유한건강생활, 면역 기능성 녹용 소재 ‘헨키브 이뮨’ 와디즈 공개",식약처 개별인정형 원료 ‘녹용효소분해추출물’ 적용 회사 측 “인체적용시험서 NK세포 활성 변화율 증가 확인” 와디즈서 최초 공개…건강기능식품 면역 기능성 중심으로 소개 유한건강생활은 녹용효소분해추출...,2026-07-01,biz.chosun.com,건강제품,Yuhan Health Launches Immune-Functional Deer Velvet Product,"Yuhan Health Life introduces 'Henkiv Immune,' a deer velvet-based functional ingredient featuring enzyme-decomposed deer velvet extract approved by the Korea Food and Drug Administration, with clinical studies showing increased NK cell activity.",2026-07-01T08:54:31Z,TRUE
bf3d822ac4f410e3,https://www.econovill.com/news/articleView.html?idxno=743888,녹용 시장 커진다…정관장 '천녹' 성장세 주목,"건강기능식품 시장에 고급화 바람이 불면서 전통 보양 소재인 '녹용'이 핵심 주자로 떠오른 가운데, 정관장의 프리미엄 녹용 브랜드 '천녹'이 시장 성장을 견인하며 주목받고 있다. 녹용은 전통적으로 기력 관리에...",2026-06-30,econovill.com,업계소식,Deer Velvet Market Grows With Premium Brand Focus,"The deer velvet market is expanding as Korea's health functional food sector shifts toward premium products, with KGC Ginseng's premium brand 'Cheonrok' leading market growth.",2026-07-01T08:54:31Z,TRUE
54a976ffbfac83b8,https://www.starnewskorea.com/sports/2026/06/30/2026063015232082478,"키움, 7일 1일 LG전서 '래오이경제 파트너데이' 개최→한의사 이경제 원...","전통 한방 원료를 현대적으로 재해석한 제품들을 선보이고 있으며, 특히 흑염소, 녹용, 침향 등 대표 라인업을 통해 소비자들에게 꾸준한 신뢰를 받으며 토털 헬스케어 브랜드로서 업계를 선도하고 있다.",2026-06-30,starnewskorea.com,업계소식,Kium Hosts Traditional Korean Medicine Partner Event,Kium is showcasing modernized traditional Korean medicine products including deer velvet as part of their healthcare brand expansion. The company is positioning itself as a leading total healthcare brand through key product lines.,2026-07-01T08:54:31Z,TRUE
a4e712e96d534287,https://magazine.hankyung.com/business/article/202606305681b,녹용 건강기능식품 시장 확대…프리미엄 원료 경쟁 본격화,온 녹용이 대표적인 프리미엄 원료로 자리 잡으면서 관련 제품 출시와 마케팅 경쟁도 활발해지는 분위기다. 시장 확대는 수입 통계에서도 확인된다. 수입식품 검사연보에 따르면 뉴질랜드산 녹용 수입량은 2021년 30톤에서...,2026-06-30,magazine.hankyung.com,건강제품,Premium Deer Velvet Market Expands With Intense Competition,The deer velvet health supplement market is growing with increased product launches and marketing competition as premium raw materials gain prominence. Import statistics show New Zealand deer velvet imports have increased since 2021.,2026-07-01T08:54:31Z,TRUE
896cdc2690b97c6b,https://www.mdtoday.co.kr/news/articleView.html?idxno=602940,"건강기능식품 시장, 브랜드 넘어 원료까지 따진다","이러한 소비 트렌드의 고급화에 힘입어 전통적인 건강 소재인 녹용 시장이 가파른 성장세를 보이고 있다. 녹용 시장의 성장세는 수입량 지표에서도 확인된다. 수입식품 검사연보에 따르면, 뉴질랜드산 녹용 수입량은...",2026-06-30,mdtoday.co.kr,수입유통,Health Supplement Market Focuses on Raw Ingredients Over Brands,"The Korean health supplement market is increasingly emphasizing raw materials and ingredients, driving growth in traditional health products like deer velvet. New Zealand deer velvet imports show significant growth according to food import inspection data.",2026-07-01T08:54:31Z,TRUE
dcf2eb2c26043736,http://www.lawissue.co.kr/view.php?ud=20260629213929919817d053b9_12,"정관장, 녹용 브랜드 '천녹' 5월 매출 전년 대비 7.1% 증가",정관장의 프리미엄 녹용 브랜드 '천녹'이 이달 가정의 달 시즌에 구매 비중이 전년 대비 7.1% 증가했으며... 뉴질랜드산 녹용 수입량도 2021년 30톤에서 최근 61톤으로 2배 이상 증가했다. 명절과 가정의 달 같은 선물 시즌에...,2026-06-29,lawissue.co.kr,업계소식,Cheong Kwan Jang's Premium Deer Velvet Brand Sales Up 7.1%,Cheong Kwan Jang's premium deer velvet brand 'Cheonrok' saw May sales increase 7.1% year-over-year during the family holiday season. New Zealand deer velvet imports have more than doubled from 30 tons in 2021 to 61 tons recently.,2026-07-01T08:54:31Z,TRUE
15bf0e68db7b96f6,http://www.thevaluenews.co.kr/news/view.php?idx=199701,"건기식 시장, 녹용 앞세운 프리미엄 원료 경쟁 본격화","[사진=정관장] 이 같은 흐름 속에서 녹용이 프리미엄 건강관리 소재로 다시 주목받고 있다. 녹용은 전통적으로 기력 관리에 활용돼 온 대표적인 원료로, 최근에는 건강 선물 시장과 고급 건강식품 시장을 중심으로 수요가...",2026-06-29,thevaluenews.co.kr,건강제품,Deer Velvet Emerges as Premium Health Supplement Market Leader,"Deer velvet is gaining renewed attention as a premium ingredient in the health supplement market, particularly in the gift and luxury health food segments. The ingredient continues to be valued traditionally for vitality management while expanding its presence in high-end wellness products.",2026-07-01T08:54:31Z,TRUE
f066817ccc097084,https://www.etnews.com/20260626000281,"“국내산 녹용, 농협이 끝까지 책임집니다”… 안현구 조합장을 만나다","좋은 녹용을 기르는 일이 농가의 책임이라면, 소비자분들께 안전하게 전달하는 일은 농협의 책임입니다. 그 책임을 다하겠습니다.” 매년 여름, 갓 자라난 녹용을 출하하는 수매 시즌이 돌아온다. 올해 6월...",2026-06-29,etnews.com,업계소식,Agricultural Cooperative Takes Full Responsibility For Domestic Deer Velvet,The National Agricultural Cooperative Federation's chairman discusses the organization's commitment to safely delivering quality domestic deer velvet to consumers. The article covers the summer purchasing season when newly grown velvet is harvested and sold.,2026-07-01T08:54:31Z,TRUE
300700861851bb01,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202606260438&t=NN,"한국양토양록농협, 2026년 햇녹용 수매 출정식 성료…6월 말 전국 수매 ...",한국양토양록농협(조합장 안현구)이 지난 22일 경기도 곤지암 경제사업장에서 '2026년 국내산 햇녹용 수매 출정식'을 개최하고 본격적인 수매 대장정에 나섰다. 이날 출정식에는 전국 양록조합원들이 참석해 국내산 녹용의...,2026-06-29,wowtv.co.kr,업계소식,Korean Deer Velvet Cooperative Launches 2026 Domestic Antler Procurement,"The Korean Deer and Velvet Cooperative held a launch ceremony for its 2026 domestic velvet antler procurement on the 22nd at its facility in Gonjiam, Gyeonggi Province. The cooperative plans to begin full-scale purchasing nationwide by the end of June.",2026-07-01T08:54:31Z,TRUE
